artist,track,album,dur_ms,track_no,explicit,popularity,artist_id,track_id,album_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Beastie Boys,Shambala,Ill Communication,220866,18,FALSE,32,03r4iKL2g2442PT9n2UKsx,6nnSCW41hJIMss2kXEYn7q,6lfjbwFGzQ6aSNP1N3JlT8,0.579,0.65,0,-14.799,1,0.0628,0.356,0.958,0.172,0.403,116.729,4
Beastie Boys,The Negotiation Limerick File,Hello Nasty,166200,16,FALSE,28,03r4iKL2g2442PT9n2UKsx,4JiJQeZceRcopxb9BPvpdW,1HhBu55aklCwIus7KffIji,0.708,0.906,1,-5.772,1,0.228,0.0514,0,0.396,0.296,100.947,4
Beastie Boys,Here’s A Little Something For Ya,Hot Sauce Committee (Pt. 2),188920,14,FALSE,21,03r4iKL2g2442PT9n2UKsx,4lBiqmNX0h751IdDyFyQCR,4ZdM8DkKgfTCz8e0wJk9CX,0.759,0.712,1,-5.936,1,0.0983,0.0172,0,0.0957,0.603,97.995,4
Beastie Boys,Posse In Effect,Licensed To Ill,146373,4,FALSE,45,03r4iKL2g2442PT9n2UKsx,478mMi69Mnt72YtdgiTorO,11oR0ZuqB3ucZwb5TGbZxb,0.711,0.756,6,-14.36,1,0.532,0.0465,0,0.281,0.813,171.781,4
Beastie Boys,Oh My Goodness This Record's Incredible - Remastered,Hello Nasty (Deluxe Version/Remastered 2009),3947,21,FALSE,0,03r4iKL2g2442PT9n2UKsx,6ha4lidYqe6KiGtHfQGpKr,6eGYLONkDMja0MNtZWnRRB,0,0.156,10,-36.675,1,0,0.896,0,0,0,0,0
Beastie Boys,I Don't Know - Remastered,Hello Nasty (Deluxe Version/Remastered 2009),180373,15,FALSE,40,03r4iKL2g2442PT9n2UKsx,10FLYqpqDN4uo6eWtD6WEB,6eGYLONkDMja0MNtZWnRRB,0.87,0.406,0,-15.172,1,0.0661,0.447,0.903,0.0713,0.96,114.021,4
Beastie Boys,Crawlspace,To The 5 Boroughs,173600,13,TRUE,31,03r4iKL2g2442PT9n2UKsx,6GEjtEykHTC80eWWLjluPF,4nnQZQWLibK1VIhCGDFjk3,0.907,0.699,10,-6.724,0,0.297,0.256,1.09e-5,0.343,0.68,108,4
Beastie Boys,Here's A Little Something For Ya,Hot Sauce Committee (Pt. 2),188933,14,TRUE,37,03r4iKL2g2442PT9n2UKsx,730cCT9tpVFEcLQpQFBahX,1vQYbqslni0jVfvaVK2lvx,0.763,0.704,1,-5.92,1,0.0944,0.019,0,0.101,0.585,98.002,4
Beastie Boys,Slow Ride,Licensed To Ill,176866,5,FALSE,46,03r4iKL2g2442PT9n2UKsx,0eWP2sADBFG1hTrwJYfmMp,11oR0ZuqB3ucZwb5TGbZxb,0.858,0.415,7,-16.011,1,0.184,0.00718,2.25e-4,0.109,0.366,96.807,4
Beastie Boys,Get It Together,Ill Communication,245626,7,TRUE,48,03r4iKL2g2442PT9n2UKsx,6aaPceG6TnixvAZQ1wBMdp,6lfjbwFGzQ6aSNP1N3JlT8,0.854,0.649,11,-7.997,1,0.326,0.281,0,0.106,0.734,101.02,4
Beastie Boys,Pass The Mic - 2005 Remaster,Solid Gold Hits,257480,6,FALSE,39,03r4iKL2g2442PT9n2UKsx,6pohTK2goszypEknIa5Xjg,3LTAhelcgxjKKLhgkLJ7CH,0.626,0.892,7,-5.57,1,0.228,0.0198,0,0.116,0.611,168.036,4
Beastie Boys,Dope Little Song - Remastered 2009,Ill Communication (Deluxe Version/Remastered),109293,4,TRUE,28,03r4iKL2g2442PT9n2UKsx,0UQUmKTYQk6SW4ZbhA9IKR,3Ba5eDpzB4yLBfJsraQM4G,0.845,0.874,1,-7.864,1,0.146,0.0998,8.95e-5,0.755,0.689,101.957,4
Beastie Boys,Bobo On The Corner - Alternate Mix,Ill Communication,73266,4,FALSE,33,03r4iKL2g2442PT9n2UKsx,6oUJdDD6JiG3S0lw99ilpX,6lfjbwFGzQ6aSNP1N3JlT8,0.505,0.778,2,-9.411,1,0.0479,0.00136,0.845,0.131,0.342,110.402,4
Beastie Boys,The Blue Nun,Check Your Head,32173,11,FALSE,30,03r4iKL2g2442PT9n2UKsx,7h57al3ipDed8Ahtf7sBym,0cXrT5A2aHEQEG0f1ZBS05,0.615,0.335,7,-16.485,1,0.496,0.654,5.09e-6,0.102,0.944,102.001,4
Beastie Boys,Hail Sagan (Special K) - Remastered,Hello Nasty (Deluxe Version/Remastered 2009),244000,17,FALSE,25,03r4iKL2g2442PT9n2UKsx,2FwcER0EYC7RS98soNgN6U,6eGYLONkDMja0MNtZWnRRB,0.361,0.538,0,-8.777,1,0.0448,0.225,0.0609,0.116,0.0726,108.937,4
Beastie Boys,The Gala Event,The Mix-Up,227680,4,FALSE,34,03r4iKL2g2442PT9n2UKsx,7ySQTxgK5mUg4nsJA2wlPK,4ceCKh9j1lgoMWOzCqxqIA,0.519,0.464,4,-16.419,1,0.0338,0.00729,0.804,0.218,0.0954,80.009,4
Beastie Boys,Bobo On The Corner - Instrumental,Ill Communication,73160,4,FALSE,10,03r4iKL2g2442PT9n2UKsx,0aFTJGdq8JabvgqnauCdcD,290eTJ15EAYJa3JomDWyhh,0.534,0.738,11,-10.079,0,0.0446,0.00118,0.845,0.1,0.374,110.274,4
Beastie Boys,The Lisa Lisa / Full Force Routine,Hot Sauce Committee (Pt. 2),49493,16,FALSE,9,03r4iKL2g2442PT9n2UKsx,63wt6VYOA1CSkGtUhSdwKL,4ZdM8DkKgfTCz8e0wJk9CX,0.482,0.6,7,-10.041,1,0.254,0.00116,0.0273,0.342,0.561,88.148,4
Beastie Boys,Do It,Ill Communication,196333,14,FALSE,11,03r4iKL2g2442PT9n2UKsx,1z4uTHwttXGNZpkA7ieSvJ,290eTJ15EAYJa3JomDWyhh,0.774,0.907,1,-7.332,1,0.21,0.15,1.26e-5,0.574,0.591,87.022,4
Beastie Boys,It Takes Time To Build - With Skit,To The 5 Boroughs,191546,4,FALSE,33,03r4iKL2g2442PT9n2UKsx,0JXd86ImsreGIfgQoVsrYt,4nnQZQWLibK1VIhCGDFjk3,0.825,0.833,7,-7.894,1,0.091,0.00395,2.71e-4,0.118,0.684,95.003,4
Beastie Boys,Live At P.J.'s,Check Your Head,198263,16,TRUE,32,03r4iKL2g2442PT9n2UKsx,70uTnTN7vk07LOHs5oSSr6,7CSP7J60QKIBCqOV64qILq,0.696,0.838,7,-8.968,1,0.138,0.296,5.45e-4,0.719,0.734,103.452,4
Beastie Boys,Bodhisattva Vow,Ill Communication,188173,19,FALSE,11,03r4iKL2g2442PT9n2UKsx,4AXMkyj6JEPZ3oiEvwW2KB,290eTJ15EAYJa3JomDWyhh,0.71,0.904,4,-9.807,0,0.0874,0.0422,0.0022,0.103,0.398,98.919,4
Beastie Boys,The Update,Ill Communication,195506,9,TRUE,32,03r4iKL2g2442PT9n2UKsx,5IR8IebPGkWxh1RS6D43Vn,6lfjbwFGzQ6aSNP1N3JlT8,0.723,0.897,7,-8.616,1,0.0984,0.42,0.0325,0.407,0.887,157.304,4
Beastie Boys,Egg Man,Paul's Boutique (20th Anniversary Remastered Edition),177706,4,FALSE,43,03r4iKL2g2442PT9n2UKsx,6vcf7sA7tsNiIeufH0FUFL,1kmyirVya5fRxdjsPFDM05,0.863,0.788,1,-8.828,0,0.306,0.116,4.88e-6,0.682,0.641,116.843,4
Beastie Boys,Sure Shot - European B-Boy Mix/Instrumental/Remastered 2009,Ill Communication (Deluxe Version/Remastered),178586,12,FALSE,26,03r4iKL2g2442PT9n2UKsx,2ynVdvSzl4IOYhEdt1YVr2,3Ba5eDpzB4yLBfJsraQM4G,0.858,0.618,10,-6.355,0,0.324,0.0747,0.737,0.811,0.527,97.73,4
Beastie Boys,Hey Ladies,Paul's Boutique (20th Anniversary Remastered Edition),227773,8,FALSE,51,03r4iKL2g2442PT9n2UKsx,5ulZo7nk3MByXLvja3NCAc,1kmyirVya5fRxdjsPFDM05,0.949,0.728,1,-10.653,1,0.211,0.286,0,0.0465,0.795,101.718,4
Beastie Boys,The Maestro - 2009 Digital Remaster,Check Your Head,172261,14,TRUE,32,03r4iKL2g2442PT9n2UKsx,5D0dX6VtzJ7BKP9tqHqRyz,7CSP7J60QKIBCqOV64qILq,0.654,0.935,8,-7.818,1,0.145,0.0144,0.0336,0.238,0.777,90.471,4
Beastie Boys,Mullet Head - Remastered 2009,Ill Communication (Deluxe Version/Remastered),172453,11,FALSE,27,03r4iKL2g2442PT9n2UKsx,6MBvBpUwayw2SBskAssI6I,3Ba5eDpzB4yLBfJsraQM4G,0.447,0.931,4,-6.1,0,0.0835,0.0222,0.898,0.357,0.459,116.176,4
Beastie Boys,Paul Revere,Licensed To Ill,220914,9,FALSE,59,03r4iKL2g2442PT9n2UKsx,3gKwVWwKmeuFtPubICbOGc,11oR0ZuqB3ucZwb5TGbZxb,0.886,0.352,6,-20.016,0,0.904,0.0202,0,0.234,0.524,91.719,4
Beastie Boys,Body Movin' - Remastered,Hello Nasty (Deluxe Version/Remastered 2009),183586,6,TRUE,43,03r4iKL2g2442PT9n2UKsx,1OIigmKerSiw9creKBH0UH,6eGYLONkDMja0MNtZWnRRB,0.755,0.918,6,-6.518,1,0.0956,0.00363,0.0119,0.0357,0.565,99.036,4
