artist,dur_ms,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,artist_num
Beastie Boys,220866,32,0.579,0.65,0,-14.799,1,0.0628,0.356,0.958,0.172,0.403,116.729,2
Beastie Boys,166200,28,0.708,0.906,1,-5.772,1,0.228,0.0514,0,0.396,0.296,100.947,2
Beastie Boys,188920,21,0.759,0.712,1,-5.936,1,0.0983,0.0172,0,0.0957,0.603,97.995,2
Beastie Boys,146373,45,0.711,0.756,6,-14.36,1,0.532,0.0465,0,0.281,0.813,171.781,2
Beastie Boys,3947,0,0,0.156,10,-36.675,1,0,0.896,0,0,0,0,2
Beastie Boys,180373,40,0.87,0.406,0,-15.172,1,0.0661,0.447,0.903,0.0713,0.96,114.021,2
Beastie Boys,173600,31,0.907,0.699,10,-6.724,0,0.297,0.256,1.09e-5,0.343,0.68,108,2
Beastie Boys,188933,37,0.763,0.704,1,-5.92,1,0.0944,0.019,0,0.101,0.585,98.002,2
Beastie Boys,176866,46,0.858,0.415,7,-16.011,1,0.184,0.00718,2.25e-4,0.109,0.366,96.807,2
Beastie Boys,245626,48,0.854,0.649,11,-7.997,1,0.326,0.281,0,0.106,0.734,101.02,2
Beastie Boys,257480,39,0.626,0.892,7,-5.57,1,0.228,0.0198,0,0.116,0.611,168.036,2
Beastie Boys,109293,28,0.845,0.874,1,-7.864,1,0.146,0.0998,8.95e-5,0.755,0.689,101.957,2
Beastie Boys,73266,33,0.505,0.778,2,-9.411,1,0.0479,0.00136,0.845,0.131,0.342,110.402,2
Beastie Boys,32173,30,0.615,0.335,7,-16.485,1,0.496,0.654,5.09e-6,0.102,0.944,102.001,2
Beastie Boys,244000,25,0.361,0.538,0,-8.777,1,0.0448,0.225,0.0609,0.116,0.0726,108.937,2
Beastie Boys,227680,34,0.519,0.464,4,-16.419,1,0.0338,0.00729,0.804,0.218,0.0954,80.009,2
Beastie Boys,73160,10,0.534,0.738,11,-10.079,0,0.0446,0.00118,0.845,0.1,0.374,110.274,2
Beastie Boys,49493,9,0.482,0.6,7,-10.041,1,0.254,0.00116,0.0273,0.342,0.561,88.148,2
Beastie Boys,196333,11,0.774,0.907,1,-7.332,1,0.21,0.15,1.26e-5,0.574,0.591,87.022,2
Beastie Boys,191546,33,0.825,0.833,7,-7.894,1,0.091,0.00395,2.71e-4,0.118,0.684,95.003,2
Beastie Boys,198263,32,0.696,0.838,7,-8.968,1,0.138,0.296,5.45e-4,0.719,0.734,103.452,2
Beastie Boys,188173,11,0.71,0.904,4,-9.807,0,0.0874,0.0422,0.0022,0.103,0.398,98.919,2
Beastie Boys,195506,32,0.723,0.897,7,-8.616,1,0.0984,0.42,0.0325,0.407,0.887,157.304,2
Beastie Boys,177706,43,0.863,0.788,1,-8.828,0,0.306,0.116,4.88e-6,0.682,0.641,116.843,2
Beastie Boys,178586,26,0.858,0.618,10,-6.355,0,0.324,0.0747,0.737,0.811,0.527,97.73,2
Beastie Boys,227773,51,0.949,0.728,1,-10.653,1,0.211,0.286,0,0.0465,0.795,101.718,2
Beastie Boys,172261,32,0.654,0.935,8,-7.818,1,0.145,0.0144,0.0336,0.238,0.777,90.471,2
Beastie Boys,172453,27,0.447,0.931,4,-6.1,0,0.0835,0.0222,0.898,0.357,0.459,116.176,2
Beastie Boys,220914,59,0.886,0.352,6,-20.016,0,0.904,0.0202,0,0.234,0.524,91.719,2
Beastie Boys,183586,43,0.755,0.918,6,-6.518,1,0.0956,0.00363,0.0119,0.0357,0.565,99.036,2
Beastie Boys,221666,40,0.796,0.651,0,-15.608,1,0.0577,0.27,0.882,0.592,0.747,97.898,2
Beastie Boys,228520,41,0.945,0.837,1,-6.266,1,0.218,0.134,4.56e-6,0.0395,0.673,101.823,2
Beastie Boys,134400,27,0.768,0.708,10,-6.686,1,0.127,5.65e-4,0.123,0.0825,0.646,95.183,2
Beastie Boys,205746,38,0.507,0.949,0,-2.973,1,0.159,0.00789,0.223,0.292,0.511,178.125,2
Beastie Boys,223626,34,0.567,0.486,9,-14.925,1,0.0284,0.0981,0.896,0.0922,0.362,93.346,2
Beastie Boys,152906,30,0.594,0.873,10,-6.358,0,0.118,0.0148,0.0727,0.121,0.372,90.122,2
Beastie Boys,179653,33,0.859,0.785,6,-8.516,1,0.352,0.46,2.93e-6,0.182,0.801,97.924,2
Beastie Boys,196106,33,0.763,0.919,1,-6.273,1,0.212,0.0747,3.17e-6,0.507,0.583,87.097,2
